Year,State,Candidate,Party,Candidate Votes,Total Votes,Description,GDP
2008,SOUTH CAROLINA,"MCCAIN, JOHN",REPUBLICAN,1034896,1920969,All industry total ,164471.2
2008,SOUTH DAKOTA,"MCCAIN, JOHN",REPUBLICAN,203054,381975,All industry total ,36939.3
2008,TENNESSEE,"MCCAIN, JOHN",REPUBLICAN,1479178,2599749,All industry total ,255546.7
2008,TEXAS,"MCCAIN, JOHN",REPUBLICAN,4479328,8077795,All industry total ,1253142.0
2008,UTAH,"MCCAIN, JOHN",REPUBLICAN,596030,952370,All industry total ,116949.2
2008,VERMONT,"OBAMA, BARACK H.",DEMOCRAT,219262,325046,All industry total ,26140.4
2008,VIRGINIA,"OBAMA, BARACK H.",DEMOCRAT,1959532,3723260,All industry total ,402157.8
2008,WASHINGTON,"OBAMA, BARACK H.",DEMOCRAT,1750848,3036878,All industry total ,352460.7
2008,WEST VIRGINIA,"MCCAIN, JOHN",REPUBLICAN,397466,713451,All industry total ,62978.7
2008,WISCONSIN,"OBAMA, BARACK H.",DEMOCRAT,1677211,2983417,All industry total ,246493.0
2008,WYOMING,"MCCAIN, JOHN",REPUBLICAN,164958,254904,All industry total ,42694.6
2012,ALABAMA,"ROMNEY, MITT",REPUBLICAN,1255925,2074338,All industry total ,188280.7
2012,ALASKA,"ROMNEY, MITT",REPUBLICAN,164676,300495,All industry total ,58320.7
2012,ARIZONA,"ROMNEY, MITT",REPUBLICAN,1233654,2299254,All industry total ,272703.3
2012,ARKANSAS,"ROMNEY, MITT",REPUBLICAN,647744,1069468,All industry total ,108836.0
2012,CALIFORNIA,"OBAMA, BARACK H.",DEMOCRAT,7854285,13038547,All industry total ,2108873.1
2012,COLORADO,"OBAMA, BARACK H.",DEMOCRAT,1323101,2569516,All industry total ,274738.8
2012,CONNECTICUT,"OBAMA, BARACK H.",DEMOCRAT,905083,1558204,All industry total ,239907.5
2012,DELAWARE,"OBAMA, BARACK H.",DEMOCRAT,242584,413890,All industry total ,62342.1
2012,DISTRICT OF COLUMBIA,"OBAMA, BARACK H.",DEMOCRAT,267070,293764,All industry total ,112512.7
2012,FLORIDA,"OBAMA, BARACK H.",DEMOCRAT,4237756,8474179,All industry total ,784545.9
2012,GEORGIA,"ROMNEY, MITT",REPUBLICAN,2078688,3897839,All industry total ,449375.6
2012,HAWAII,"OBAMA, BARACK H.",DEMOCRAT,306658,437159,All industry total ,71645.6
2012,IDAHO,"ROMNEY, MITT",REPUBLICAN,420911,652274,All industry total ,57933.7
2012,ILLINOIS,"OBAMA, BARACK H.",DEMOCRAT,3019512,5242014,All industry total ,725478.0
2012,INDIANA,"ROMNEY, MITT",REPUBLICAN,1420543,2624534,All industry total ,301277.4
2012,IOWA,"OBAMA, BARACK H.",DEMOCRAT,822544,1582180,All industry total ,158553.1
2012,KANSAS,"ROMNEY, MITT",REPUBLICAN,692634,1159971,All industry total ,141812.1
2012,KENTUCKY,"ROMNEY, MITT",REPUBLICAN,1087190,1797212,All industry total ,178370.6
2012,LOUISIANA,"ROMNEY, MITT",REPUBLICAN,1152262,1994065,All industry total ,235960.9
2012,MAINE,"OBAMA, BARACK H.",DEMOCRAT,401306,724758,All industry total ,54018.5
2012,MARYLAND,"OBAMA, BARACK H.",DEMOCRAT,1677844,2707327,All industry total ,331869.0
2012,MASSACHUSETTS,"OBAMA, BARACK H.",DEMOCRAT,1921290,3184196,All industry total ,441373.9
2012,MICHIGAN,"OBAMA, BARACK H.",DEMOCRAT,2564569,4730961,All industry total ,426141.1
2012,MINNESOTA,"OBAMA, BARACK H.",DEMOCRAT,1546167,2936561,All industry total ,298641.4
